HOG,OG,Gene Tree Parent Clade,Bdistachyon_pep,EM_A_pep,EM_B_pep,TaCS_A_pep_longest,TaCS_B_pep_longest,TaCS_D_pep_longest,barley,emmer,wheat,barley_rates,wheat_rates,emmer_rates,barley/emmer,barley/wheat,emmer/wheat
N1.HOG0001294,OG0000202,n10,,"TRIDC6AG002600.1, TRIDC2AG079690.1, TRIDC6AG002730.1","TRIDC6BG003530.1, TRIDC2BG087940.1",TraesCS6A02G023400,"TraesCS6B02G030400, TraesCS6B02G029400, TraesCS6B02G029900, TraesCS6B02G032000, TraesCS6B02G030700","TraesCS6D02G025500, TraesCS2D02G592600, TraesCS6D02G025900",HORVU.MOREX.r2.2HG0178240.1,"TRIDC6AG002600.1, TRIDC2AG079690.1, TRIDC6AG002730.1, TRIDC6BG003530.1, TRIDC2BG087940.1","TraesCS6A02G023400, TraesCS6B02G030400, TraesCS6B02G029400, TraesCS6B02G029900, TraesCS6B02G032000, TraesCS6B02G030700, TraesCS6D02G025500, TraesCS2D02G592600, TraesCS6D02G025900",0.8421052631578947,0.6222222222222222,0.65,1.2955465587044532,1.3533834586466165,1.0446428571428572
N1.HOG0001304,OG0000204,n18,,,TRIDC2BG000920.1,,TraesCS2B02G011900,,HORVU.MOREX.r2.2HG0079520.1,TRIDC2BG000920.1,TraesCS2B02G011900,0.3157894736842105,0.06666666666666665,0.25,1.263157894736842,4.736842105263158,3.750000000000001
N1.HOG0001446,OG0000237,n4,,,"TRIDC2BG002810.1, TRIDC0UG006760.1",TraesCS2A02G025000,"TraesCS2B02G037500, TraesCS2B02G037100, TraesCS2B02G035800",TraesCS2D02G027000,HORVU.MOREX.r2.2HG0081540.1,"TRIDC2BG002810.1, TRIDC0UG006760.1","TraesCS2A02G025000, TraesCS2B02G037500, TraesCS2B02G037100, TraesCS2B02G035800, TraesCS2D02G027000",0.9473684210526316,0.7333333333333334,0.75,1.2631578947368423,1.291866028708134,1.0227272727272727
N1.HOG0001450,OG0000237,n23,,"TRIDC2AG002550.1, TRIDC2AG007050.1","TRIDC0UG006770.1, TRIDC2BG002760.1, TRIDC2BG002790.1, TRIDC0UG024120.1",,"TraesCS2B02G037200, TraesCS2B02G036000, TraesCS2B02G036100","TraesCSU02G211000, TraesCS2D02G062200",HORVU.MOREX.r2.2HG0081570.1,"TRIDC2AG002550.1, TRIDC2AG007050.1, TRIDC0UG006770.1, TRIDC2BG002760.1, TRIDC2BG002790.1, TRIDC0UG024120.1","TraesCS2B02G037200, TraesCS2B02G036000, TraesCS2B02G036100, TraesCSU02G211000, TraesCS2D02G062200",0.6842105263157895,0.4,0.4666666666666667,1.4661654135338347,1.7105263157894737,1.1666666666666665
N1.HOG0001482,OG0000246,n1,,,"TRIDC7BG074360.1, TRIDC7BG074540.1",TraesCS7A02G555400,"TraesCS7B02G479600, TraesCS7B02G479500","TraesCS7D02G555300, TraesCS7D02G542100",HORVU.MOREX.r2.7HG0622840.1,"TRIDC7BG074360.1, TRIDC7BG074540.1","TraesCS7A02G555400, TraesCS7B02G479600, TraesCS7B02G479500, TraesCS7D02G555300, TraesCS7D02G542100",0.7894736842105263,0.23333333333333328,0.35,2.255639097744361,3.383458646616542,1.5000000000000002
N1.HOG0001485,OG0000246,n16,,TRIDC7AG077150.1,"TRIDC7BG074530.1, TRIDC6BG072880.1, TRIDC6BG072960.1, TRIDC6BG072820.1, TRIDC6BG072990.1, TRIDC6BG073000.1, TRIDC7BG074440.1, TRIDC7BG074490.1, TRIDC7BG074610.1",TraesCS7A02G555300,"TraesCS7B02G479300, TraesCS7B02G479400, TraesCS7B02G479100, TraesCS7B02G478800, TraesCS7B02G479200",,HORVU.MOREX.r2.7HG0622850.1,"TRIDC7AG077150.1, TRIDC7BG074530.1, TRIDC6BG072880.1, TRIDC6BG072960.1, TRIDC6BG072820.1, TRIDC6BG072990.1, TRIDC6BG073000.1, TRIDC7BG074440.1, TRIDC7BG074490.1, TRIDC7BG074610.1","TraesCS7A02G555300, TraesCS7B02G479300, TraesCS7B02G479400, TraesCS7B02G479100, TraesCS7B02G478800, TraesCS7B02G479200",0.7894736842105263,0.19999999999999996,0.27,2.9239766081871346,3.9473684210526323,1.3500000000000003
N1.HOG0001694,OG0000300,n23,,"TRIDC4AG050530.1, TRIDC4AG050520.1",,"TraesCS4A02G334200, TraesCS4A02G334100",TraesCS5B02G551100,,HORVU.MOREX.r2.5HG0444310.1,"TRIDC4AG050530.1, TRIDC4AG050520.1","TraesCS4A02G334200, TraesCS4A02G334100, TraesCS5B02G551100",0.9473684210526316,0.19999999999999996,0.825,1.1483253588516749,4.736842105263159,4.125000000000001
N1.HOG0001744,OG0000312,n8,,"TRIDC4AG071510.1, TRIDC4AG071890.1, TRIDC6AG009240.1, TRIDC4AG068630.1",,"TraesCS4A02G491200, TraesCS4A02G458200, TraesCS7A02G032100, TraesCS7A02G005200, TraesCS7A02G007500","TraesCS7B02G405600, TraesCS6B02G100000","TraesCS1D02G381500, TraesCSU02G133300",HORVU.MOREX.r2.6HG0457400.1,"TRIDC4AG071510.1, TRIDC4AG071890.1, TRIDC6AG009240.1, TRIDC4AG068630.1","TraesCS4A02G491200, TraesCS4A02G458200, TraesCS7A02G032100, TraesCS7A02G005200, TraesCS7A02G007500, TraesCS7B02G405600, TraesCS6B02G100000, TraesCS1D02G381500, TraesCSU02G133300",0.9473684210526316,0.42666666666666664,0.5333333333333333,1.7763157894736843,2.2203947368421058,1.25
N1.HOG0001792,OG0000323,n24,,,TRIDC1BG002490.1,TraesCS1A02G016200,TraesCS1B02G020300,"TraesCS1D02G016100, TraesCS1D02G014600",HORVU.MOREX.r2.1HG0004680.1,TRIDC1BG002490.1,"TraesCS1A02G016200, TraesCS1B02G020300, TraesCS1D02G016100, TraesCS1D02G014600",0.9473684210526316,0.8333333333333334,0.9,1.0526315789473684,1.1368421052631579,1.08
N1.HOG0001821,OG0000330,n16,,,"TRIDC2BG000650.1, TRIDC0UG026780.1",,"TraesCS2B02G013800, TraesCS2B02G014200, TraesCS2B02G014500, TraesCS2B02G014000, TraesCS2B02G318700",TraesCSU02G227900,HORVU.MOREX.r2.6HG0450110.1,"TRIDC2BG000650.1, TRIDC0UG026780.1","TraesCS2B02G013800, TraesCS2B02G014200, TraesCS2B02G014500, TraesCS2B02G014000, TraesCS2B02G318700, TraesCSU02G227900",0.9473684210526316,0.06666666666666665,0.32499999999999996,2.9149797570850207,14.210526315789478,4.875
N1.HOG0001831,OG0000333,n1,,TRIDC4AG044430.1,"TRIDC5BG070630.1, TRIDC4BG004540.1",TraesCS4A02G288300,TraesCS5B02G468000,TraesCS4D02G024100,HORVU.MOREX.r2.4HG0278930.1,"TRIDC4AG044430.1, TRIDC5BG070630.1, TRIDC4BG004540.1","TraesCS4A02G288300, TraesCS5B02G468000, TraesCS4D02G024100",0.6842105263157895,0.06666666666666665,0.6333333333333333,1.0803324099722993,10.263157894736844,9.500000000000002
N1.HOG0001874,OG0000344,n13,,"TRIDC2AG005270.1, TRIDC2AG005260.1, TRIDC2AG005250.1",,"TraesCS2A02G049800, TraesCS2A02G050000",TraesCS2B02G060700,"TraesCS2D02G049000, TraesCS6D02G286700, TraesCS2D02G048900, TraesCS2D02G049300",HORVU.MOREX.r2.2HG0084200.1,"TRIDC2AG005270.1, TRIDC2AG005260.1, TRIDC2AG005250.1","TraesCS2A02G049800, TraesCS2A02G050000, TraesCS2B02G060700, TraesCS2D02G049000, TraesCS6D02G286700, TraesCS2D02G048900, TraesCS2D02G049300",0.9473684210526316,0.19999999999999996,0.9,1.0526315789473684,4.736842105263159,4.500000000000001
N1.HOG0001879,OG0000345,n13,,"TRIDC7AG078610.1, TRIDC7AG047330.1","TRIDC7BG075560.1, TRIDC7BG075310.1, TRIDC7BG075450.1, TRIDC7BG075330.1, TRIDC7BG060530.1, TRIDC6BG072150.1, TRIDC6BG009000.1, TRIDC6BG009030.1",,"TraesCS7B02G491000, TraesCS7B02G380900","TraesCS7D02G465800, TraesCS7D02G543900, TraesCSU02G111500",HORVU.MOREX.r2.4HG0339470.1,"TRIDC7AG078610.1, TRIDC7AG047330.1, TRIDC7BG075560.1, TRIDC7BG075310.1, TRIDC7BG075450.1, TRIDC7BG075330.1, TRIDC7BG060530.1, TRIDC6BG072150.1, TRIDC6BG009000.1, TRIDC6BG009030.1","TraesCS7B02G491000, TraesCS7B02G380900, TraesCS7D02G465800, TraesCS7D02G543900, TraesCSU02G111500",0.8947368421052632,0.4,0.6428571428571428,1.3918128654970763,2.236842105263158,1.607142857142857
N1.HOG0001914,OG0000356,n8,,,TRIDC5BG002990.1,,TraesCS5B02G020000,TraesCS5D02G029100,HORVU.MOREX.r2.5HG0352860.1,TRIDC5BG002990.1,"TraesCS5B02G020000, TraesCS5D02G029100",0.8421052631578947,0.2666666666666667,0.44999999999999996,1.8713450292397662,3.1578947368421044,1.6874999999999996
N1.HOG0001915,OG0000356,n11,,TRIDC5AG009370.1,,,"TraesCS5B02G020100, TraesCS5B02G022200",TraesCS5D02G029200,HORVU.MOREX.r2.5HG0352750.1,TRIDC5AG009370.1,"TraesCS5B02G020100, TraesCS5B02G022200, TraesCS5D02G029200",0.7894736842105263,0.4666666666666667,0.7,1.1278195488721805,1.6917293233082706,1.4999999999999998
N1.HOG0001943,OG0000368,n8,,TRIDC4AG001430.1,TRIDC4BG050240.1,TraesCS4A02G011100,TraesCS4B02G293300,TraesCS4D02G291900,HORVU.MOREX.r2.4HG0336810.1,"TRIDC4AG001430.1, TRIDC4BG050240.1","TraesCS4A02G011100, TraesCS4B02G293300, TraesCS4D02G291900",0.8421052631578947,0.06666666666666665,0.525,1.6040100250626566,12.631578947368423,7.875000000000002
N1.HOG0001995,OG0000383,n14,,,"TRIDC3BG001460.1, TRIDC3BG001500.1",TraesCS3A02G008600,,"TraesCSU02G041700, TraesCSU02G187300, TraesCSU02G042100, TraesCS3D02G002400, TraesCSU02G042000, TraesCSU02G041500, TraesCSU02G162800",HORVU.MOREX.r2.3HG0182850.1,"TRIDC3BG001460.1, TRIDC3BG001500.1","TraesCS3A02G008600, TraesCSU02G041700, TraesCSU02G187300, TraesCSU02G042100, TraesCS3D02G002400, TraesCSU02G042000, TraesCSU02G041500, TraesCSU02G162800",0.736842105263158,0.23333333333333328,0.55,1.3397129186602872,3.157894736842106,2.3571428571428577
N1.HOG0002023,OG0000390,n14,,"TRIDC3AG007000.1, TRIDC3AG058950.1","TRIDC3BG066180.1, TRIDC3BG066240.1, TRIDC3BG065820.1","TraesCS3A02G414800, TraesCS3A02G059400",TraesCS3B02G448400,"TraesCS3D02G409700, TraesCS3D02G409400, TraesCSU02G224300, TraesCSU02G259000, TraesCSU02G231700",HORVU.MOREX.r2.3HG0257530.1,"TRIDC3AG007000.1, TRIDC3AG058950.1, TRIDC3BG066180.1, TRIDC3BG066240.1, TRIDC3BG065820.1","TraesCS3A02G414800, TraesCS3A02G059400, TraesCS3B02G448400, TraesCS3D02G409700, TraesCS3D02G409400, TraesCSU02G224300, TraesCSU02G259000, TraesCSU02G231700",0.9473684210526316,0.6444444444444445,0.6666666666666666,1.4210526315789476,1.47005444646098,1.0344827586206895
N1.HOG0002068,OG0000406,n11,,TRIDC7AG065230.1,"TRIDC4BG005990.1, TRIDC2BG079320.1, TRIDC2BG079180.1","TraesCS7A02G467300, TraesCS2A02G519800","TraesCS4B02G036600, TraesCS7B02G368700, TraesCS2B02G549000, TraesCS2B02G548900","TraesCS4D02G013800, TraesCSU02G192500, TraesCSU02G201500, TraesCS7D02G455500, TraesCS2D02G522800",HORVU.MOREX.r2.2HG0171080.1,"TRIDC7AG065230.1, TRIDC4BG005990.1, TRIDC2BG079320.1, TRIDC2BG079180.1","TraesCS7A02G467300, TraesCS2A02G519800, TraesCS4B02G036600, TraesCS7B02G368700, TraesCS2B02G549000, TraesCS2B02G548900, TraesCS4D02G013800, TraesCSU02G192500, TraesCSU02G201500, TraesCS7D02G455500, TraesCS2D02G522800",0.9473684210526316,0.5833333333333333,0.9,1.0526315789473684,1.6240601503759402,1.5428571428571431
N1.HOG0002138,OG0000427,n1,,"TRIDC5AG005290.1, TRIDC3AG072520.1",TRIDC3BG083830.1,"TraesCS5A02G034400, TraesCS3A02G512300","TraesCS3B02G581500, TraesCS3B02G580900","TraesCS3D02G522700, TraesCS3D02G519900, TraesCS3D02G464600, TraesCS3D02G520200, TraesCSU02G182800, TraesCS3D02G522900, TraesCS3D02G519800",HORVU.MOREX.r2.3HG0271690.1,"TRIDC5AG005290.1, TRIDC3AG072520.1, TRIDC3BG083830.1","TraesCS5A02G034400, TraesCS3A02G512300, TraesCS3B02G581500, TraesCS3B02G580900, TraesCS3D02G522700, TraesCS3D02G519900, TraesCS3D02G464600, TraesCS3D02G520200, TraesCSU02G182800, TraesCS3D02G522900, TraesCS3D02G519800",0.8947368421052632,0.5111111111111111,0.825,1.0845295055821371,1.750572082379863,1.6141304347826086
N1.HOG0002159,OG0000438,n1,,"TRIDC4AG058300.1, TRIDC4AG058270.1, TRIDC4AG058330.1, TRIDC7AG010380.1, TRIDC7AG010370.1, TRIDC4AG058340.1",,"TraesCS7A02G090200, TraesCS4A02G390100, TraesCS4A02G389900, TraesCS7A02G090100, TraesCS7A02G090000, TraesCS4A02G389800, TraesCS7A02G090300, TraesCS4A02G390000, TraesCS4A02G390200",,"TraesCS7D02G086600, TraesCS7D02G085500, TraesCS7D02G086500",HORVU.MOREX.r2.7HG0538900.1,"TRIDC4AG058300.1, TRIDC4AG058270.1, TRIDC4AG058330.1, TRIDC7AG010380.1, TRIDC7AG010370.1, TRIDC4AG058340.1","TraesCS7A02G090200, TraesCS4A02G390100, TraesCS4A02G389900, TraesCS7A02G090100, TraesCS7A02G090000, TraesCS4A02G389800, TraesCS7A02G090300, TraesCS4A02G390000, TraesCS4A02G390200, TraesCS7D02G086600, TraesCS7D02G085500, TraesCS7D02G086500",0.9473684210526316,0.5515151515151515,0.75,1.2631578947368423,1.717755928282244,1.35989010989011
N1.HOG0002168,OG0000440,n19,,,"TRIDC0UG005280.1, TRIDC0UG015260.1",,"TraesCS2B02G019400, TraesCS2B02G018800","TraesCS2D02G056800, TraesCSU02G243600, TraesCSU02G271900",HORVU.MOREX.r2.6HG0465570.1,"TRIDC0UG005280.1, TRIDC0UG015260.1","TraesCS2B02G019400, TraesCS2B02G018800, TraesCS2D02G056800, TraesCSU02G243600, TraesCSU02G271900",0.8947368421052632,0.2666666666666667,0.7,1.2781954887218046,3.3552631578947363,2.624999999999999
N1.HOG0002239,OG0000466,n8,,,TRIDC1BG069050.1,TraesCS1A02G409200,"TraesCS1B02G439200, TraesCS1B02G439300, TraesCS1B02G439400, TraesCS1B02G438800, TraesCS1B02G438200, TraesCS1B02G438400, TraesCS1B02G438100",TraesCS1D02G416200,HORVU.MOREX.r2.1HG0074200.1,TRIDC1BG069050.1,"TraesCS1A02G409200, TraesCS1B02G439200, TraesCS1B02G439300, TraesCS1B02G439400, TraesCS1B02G438800, TraesCS1B02G438200, TraesCS1B02G438400, TraesCS1B02G438100, TraesCS1D02G416200",0.9473684210526316,0.5555555555555556,0.8,1.1842105263157894,1.7052631578947368,1.44
N1.HOG0002241,OG0000466,n20,,,TRIDC1BG069010.1,TraesCS1A02G409400,"TraesCS1B02G438300, TraesCS5B02G019300, TraesCS3B02G041400",TraesCS1D02G411847,HORVU.MOREX.r2.1HG0074210.1,TRIDC1BG069010.1,"TraesCS1A02G409400, TraesCS1B02G438300, TraesCS5B02G019300, TraesCS3B02G041400, TraesCS1D02G411847",0.8421052631578947,0.4444444444444444,0.8,1.0526315789473684,1.894736842105263,1.8000000000000003
N1.HOG0002246,OG0000468,n9,,"TRIDC4AG043700.1, TRIDC2AG005470.1, TRIDC2AG005480.1, TRIDC4AG043740.1",TRIDC4BG005170.1,"TraesCS4A02G282000, TraesCS4A02G282300",TraesCS4B02G031100,"TraesCS2D02G050800, TraesCS4D02G028600, TraesCS4D02G028700",HORVU.MOREX.r2.4HG0279410.1,"TRIDC4AG043700.1, TRIDC2AG005470.1, TRIDC2AG005480.1, TRIDC4AG043740.1, TRIDC4BG005170.1","TraesCS4A02G282000, TraesCS4A02G282300, TraesCS4B02G031100, TraesCS2D02G050800, TraesCS4D02G028600, TraesCS4D02G028700",0.9473684210526316,0.5777777777777777,0.7166666666666667,1.3219094247246024,1.6396761133603242,1.2403846153846154
N1.HOG0002293,OG0000481,n1,,TRIDC6AG017500.1,"TRIDC6BG023170.1, TRIDC6BG023100.1",TraesCS6A02G129700,"TraesCS6B02G158200, TraesCS6B02G157800","TraesCS6D02G119600, TraesCS6D02G119500, TraesCS6D02G119100",HORVU.MOREX.r2.6HG0467330.1,"TRIDC6AG017500.1, TRIDC6BG023170.1, TRIDC6BG023100.1","TraesCS6A02G129700, TraesCS6B02G158200, TraesCS6B02G157800, TraesCS6D02G119600, TraesCS6D02G119500, TraesCS6D02G119100",0.9473684210526316,0.06666666666666665,0.19999999999999996,4.736842105263159,14.210526315789478,3.0
N1.HOG0002423,OG0000524,n21,,,TRIDC6BG066360.1,TraesCS6A02G380800,TraesCS6B02G420900,TraesCS6D02G369500,HORVU.MOREX.r2.6HG0521420.1,TRIDC6BG066360.1,"TraesCS6A02G380800, TraesCS6B02G420900, TraesCS6D02G369500",0.8421052631578947,0.1333333333333333,0.65,1.2955465587044532,6.3157894736842115,4.875000000000001
N1.HOG0002482,OG0000543,n1,,"TRIDC4AG064690.1, TRIDC1AG055750.1",TRIDC1BG064110.1,TraesCS1A02G379600,"TraesCS1B02G401600, TraesCS1B02G401300",TraesCS1D02G387000,HORVU.MOREX.r2.1HG0069640.1,"TRIDC4AG064690.1, TRIDC1AG055750.1, TRIDC1BG064110.1","TraesCS1A02G379600, TraesCS1B02G401600, TraesCS1B02G401300, TraesCS1D02G387000",0.9473684210526316,0.06666666666666665,0.9,1.0526315789473684,14.210526315789478,13.500000000000004
N1.HOG0002485,OG0000543,n17,,TRIDC7AG008000.1,TRIDC6BG018360.1,"TraesCS4A02G439000, TraesCS7A02G053100, TraesCS7A02G071900",,"TraesCS7D02G048400, TraesCS6D02G089800",HORVU.MOREX.r2.7HG0533390.1,"TRIDC7AG008000.1, TRIDC6BG018360.1","TraesCS4A02G439000, TraesCS7A02G053100, TraesCS7A02G071900, TraesCS7D02G048400, TraesCS6D02G089800",0.9473684210526316,0.43333333333333335,0.85,1.1145510835913313,2.1862348178137654,1.9615384615384615
N1.HOG0002590,OG0000572,n17,,,TRIDC3BG016460.1,,"TraesCS3B02G117900, TraesCS3B02G118000","TraesCS3D02G101600, TraesCS3D02G101900, TraesCS3D02G101800",HORVU.MOREX.r2.3HG0195370.1,TRIDC3BG016460.1,"TraesCS3B02G117900, TraesCS3B02G118000, TraesCS3D02G101600, TraesCS3D02G101900, TraesCS3D02G101800",0.9473684210526316,0.4666666666666667,0.7,1.3533834586466167,2.030075187969925,1.4999999999999998
N1.HOG0002617,OG0000580,n7,,"TRIDC3AG001680.1, TRIDC3AG001640.1, TRIDC7AG066090.1, TRIDC7AG066120.1, TRIDC3AG001660.1",TRIDC7BG059630.1,"TraesCS3A02G012400, TraesCS3A02G012600, TraesCS7A02G473400, TraesCS7A02G473600","TraesCS7B02G374800, TraesCS7B02G374900","TraesCS3D02G011000, TraesCS3D02G010800, TraesCS7D02G460500",HORVU.MOREX.r2.3HG0183360.1,"TRIDC3AG001680.1, TRIDC3AG001640.1, TRIDC7AG066090.1, TRIDC7AG066120.1, TRIDC3AG001660.1, TRIDC7BG059630.1","TraesCS3A02G012400, TraesCS3A02G012600, TraesCS7A02G473400, TraesCS7A02G473600, TraesCS7B02G374800, TraesCS7B02G374900, TraesCS3D02G011000, TraesCS3D02G010800, TraesCS7D02G460500",0.9473684210526316,0.06666666666666665,0.6333333333333333,1.4958448753462605,14.210526315789478,9.500000000000002
N1.HOG0002622,OG0000583,n0,,"TRIDC1AG039870.1, TRIDC2AG002700.1","TRIDC1BG003750.1, TRIDC1BG003820.1, TRIDC1BG003810.1, TRIDC1BG003730.1, TRIDC1BG002100.1, TRIDC1BG002110.1","TraesCS1A02G028600, TraesCS2A02G026300, TraesCS7A02G472100, TraesCS1A02G028700, TraesCS1A02G026300","TraesCS2B02G039500, TraesCS1B02G278000, TraesCS1B02G277900, TraesCS1B02G035400, TraesCS1B02G036200, TraesCS1B02G034600","TraesCSU02G001700, TraesCS2D02G028200, TraesCSU02G214600, TraesCSU02G234400, TraesCSU02G213800",HORVU.MOREX.r2.1HG0009560.1,"TRIDC1AG039870.1, TRIDC2AG002700.1, TRIDC1BG003750.1, TRIDC1BG003820.1, TRIDC1BG003810.1, TRIDC1BG003730.1, TRIDC1BG002100.1, TRIDC1BG002110.1","TraesCS1A02G028600, TraesCS2A02G026300, TraesCS7A02G472100, TraesCS1A02G028700, TraesCS1A02G026300, TraesCS2B02G039500, TraesCS1B02G278000, TraesCS1B02G277900, TraesCS1B02G035400, TraesCS1B02G036200, TraesCS1B02G034600, TraesCSU02G001700, TraesCS2D02G028200, TraesCSU02G214600, TraesCSU02G234400, TraesCSU02G213800",0.8947368421052632,0.42500000000000004,0.52,1.7206477732793521,2.1052631578947367,1.2235294117647058
N1.HOG0002644,OG0000596,n1,,,TRIDC0UG006390.1,TraesCS4A02G248400,"TraesCS4B02G066500, TraesCS2B02G319100",TraesCS4D02G065400,"HORVU.MOREX.r2.4HG0284030.1, HORVU.MOREX.r2.7HG0531880.1",TRIDC0UG006390.1,"TraesCS4A02G248400, TraesCS4B02G066500, TraesCS2B02G319100, TraesCS4D02G065400",0.9473684210526316,0.5333333333333333,0.65,1.45748987854251,1.7763157894736843,1.21875
N1.HOG0002647,OG0000597,n1,,TRIDC2AG016950.1,"TRIDC2BG020540.1, TRIDC2BG020550.1",TraesCS2A02G136400,TraesCS2B02G160200,TraesCS2D02G138900,HORVU.MOREX.r2.2HG0097090.1,"TRIDC2AG016950.1, TRIDC2BG020540.1, TRIDC2BG020550.1","TraesCS2A02G136400, TraesCS2B02G160200, TraesCS2D02G138900",0.9473684210526316,0.6333333333333333,0.65,1.45748987854251,1.4958448753462605,1.0263157894736843
N1.HOG0002664,OG0000602,n3,,,"TRIDC6BG003250.1, TRIDC6BG002730.1","TraesCS6A02G020500, TraesCS6A02G020900, TraesCS6A02G022700","TraesCS2B02G171700, TraesCS6B02G028100, TraesCS6B02G028300, TraesCS6B02G027900","TraesCS6D02G024000, TraesCS6D02G023800, TraesCS6D02G024300",HORVU.MOREX.r2.6HG0450540.1,"TRIDC6BG003250.1, TRIDC6BG002730.1","TraesCS6A02G020500, TraesCS6A02G020900, TraesCS6A02G022700, TraesCS2B02G171700, TraesCS6B02G028100, TraesCS6B02G028300, TraesCS6B02G027900, TraesCS6D02G024000, TraesCS6D02G023800, TraesCS6D02G024300",0.9473684210526316,0.6833333333333333,0.8,1.1842105263157894,1.386392811296534,1.170731707317073
N1.HOG0002682,OG0000608,n10,,"TRIDC7AG003640.1, TRIDC4AG066830.1, TRIDC4AG066800.1",TRIDC0UG010740.1,"TraesCS4A02G451500, TraesCS4A02G454100, TraesCS4A02G454000, TraesCS4A02G451800",,"TraesCS7D02G033700, TraesCS7D02G033800",HORVU.MOREX.r2.7HG0531420.1,"TRIDC7AG003640.1, TRIDC4AG066830.1, TRIDC4AG066800.1, TRIDC0UG010740.1","TraesCS4A02G451500, TraesCS4A02G454100, TraesCS4A02G454000, TraesCS4A02G451800, TraesCS7D02G033700, TraesCS7D02G033800",0.9473684210526316,0.33333333333333337,0.6333333333333333,1.4958448753462605,2.8421052631578947,1.8999999999999997
N1.HOG0002703,OG0000615,n6,,,"TRIDC7BG072670.1, TRIDC7BG072710.1",,TraesCS7B02G469100,"TraesCSU02G099100, TraesCS7D02G532400",HORVU.MOREX.r2.7HG0621420.1,"TRIDC7BG072670.1, TRIDC7BG072710.1","TraesCS7B02G469100, TraesCSU02G099100, TraesCS7D02G532400",0.7894736842105263,0.6,0.7,1.1278195488721805,1.3157894736842106,1.1666666666666667
N1.HOG0002881,OG0000673,n4,,,TRIDC2BG077270.1,,"TraesCS2B02G535700, TraesCS2B02G535600",TraesCS2D02G508300,HORVU.MOREX.r2.2HG0169490.1,TRIDC2BG077270.1,"TraesCS2B02G535700, TraesCS2B02G535600, TraesCS2D02G508300",0.8421052631578947,0.6444444444444445,0.75,1.1228070175438596,1.306715063520871,1.1637931034482758
N1.HOG0002892,OG0000678,n8,,,"TRIDC1BG069610.1, TRIDC1BG064970.1","TraesCS1A02G384100, TraesCS1A02G385300","TraesCS1B02G410900, TraesCS1B02G442700, TraesCS1B02G411400","TraesCS1D02G392900, TraesCS1D02G392600",HORVU.MOREX.r2.1HG0070290.1,"TRIDC1BG069610.1, TRIDC1BG064970.1","TraesCS1A02G384100, TraesCS1A02G385300, TraesCS1B02G410900, TraesCS1B02G442700, TraesCS1B02G411400, TraesCS1D02G392900, TraesCS1D02G392600",0.9473684210526316,0.5777777777777777,0.9,1.0526315789473684,1.6396761133603242,1.557692307692308
N1.HOG0002938,OG0000695,n7,,"TRIDC6AG029050.1, TRIDC1AG063660.1","TRIDC2BG038920.1, TRIDC7BG050140.1","TraesCS1A02G433700, TraesCS6A02G194200, TraesCS3A02G431700","TraesCS2B02G270900, TraesCS7B02G313200","TraesCS5D02G560000, TraesCS5D02G456500, TraesCSU02G106800, TraesCS1D02G183200, TraesCS5D02G220000, TraesCS3D02G057800",HORVU.MOREX.r2.6HG0515250.1,"TRIDC6AG029050.1, TRIDC1AG063660.1, TRIDC2BG038920.1, TRIDC7BG050140.1","TraesCS1A02G433700, TraesCS6A02G194200, TraesCS3A02G431700, TraesCS2B02G270900, TraesCS7B02G313200, TraesCS5D02G560000, TraesCS5D02G456500, TraesCSU02G106800, TraesCS1D02G183200, TraesCS5D02G220000, TraesCS3D02G057800",0.8947368421052632,0.6,0.85,1.0526315789473684,1.4912280701754386,1.4166666666666667
N1.HOG0002986,OG0000711,n14,,,TRIDC2BG001850.1,,TraesCS2B02G024000,TraesCS2D02G017500,HORVU.MOREX.r2.2HG0080580.1,TRIDC2BG001850.1,"TraesCS2B02G024000, TraesCS2D02G017500",0.8421052631578947,0.4,0.75,1.1228070175438596,2.1052631578947367,1.875
N1.HOG0003002,OG0000717,n4,,TRIDC2AG072380.1,"TRIDC2BG078450.1, TRIDC2BG078420.1","TraesCS2A02G515100, TraesCS2A02G515500, TraesCS2A02G515400","TraesCS2B02G543600, TraesCS2B02G544000","TraesCS2D02G517100, TraesCS2D02G516700, TraesCS2D02G516900",HORVU.MOREX.r2.2HG0170670.1,"TRIDC2AG072380.1, TRIDC2BG078450.1, TRIDC2BG078420.1","TraesCS2A02G515100, TraesCS2A02G515500, TraesCS2A02G515400, TraesCS2B02G543600, TraesCS2B02G544000, TraesCS2D02G517100, TraesCS2D02G516700, TraesCS2D02G516900",0.8947368421052632,0.33333333333333337,0.4666666666666667,1.9172932330827068,2.6842105263157894,1.4
N1.HOG0003119,OG0000763,n16,,TRIDC1AG002930.1,,TraesCS3A02G178100,,TraesCS1D02G129900,HORVU.MOREX.r2.3HG0227640.1,TRIDC1AG002930.1,"TraesCS3A02G178100, TraesCS1D02G129900",0.736842105263158,0.06666666666666665,0.09999999999999998,7.368421052631581,11.052631578947372,1.5
